,index_code,con_code,trade_date,weight
0,000001.SH,900910.SH,20160831,0.006
1,000001.SH,600354.SH,20160831,0.016
2,000001.SH,600628.SH,20160831,0.028
3,000001.SH,900941.SH,20160831,0.006
4,000001.SH,603002.SH,20160831,0.015
5,000001.SH,600630.SH,20160831,0.027
6,000001.SH,600513.SH,20160831,0.013
7,000001.SH,600611.SH,20160831,0.042
8,000001.SH,600639.SH,20160831,0.065
9,000001.SH,600767.SH,20160831,0.02
10,000001.SH,900942.SH,20160831,0.008
11,000001.SH,600469.SH,20160831,0.021
12,000001.SH,600800.SH,20160831,0.02
13,000001.SH,601857.SH,20160831,4.52
14,000001.SH,600373.SH,20160831,0.118
15,000001.SH,601588.SH,20160831,0.043
16,000001.SH,600500.SH,20160831,0.074
17,000001.SH,603012.SH,20160831,0.029
18,000001.SH,601727.SH,20160831,0.307
19,000001.SH,900943.SH,20160831,0.003
20,000001.SH,600108.SH,20160831,0.038
21,000001.SH,600390.SH,20160831,0.023
22,000001.SH,600526.SH,20160831,0.028
23,000001.SH,601899.SH,20160831,0.195
24,000001.SH,601113.SH,20160831,0.031
25,000001.SH,601218.SH,20160831,0.02
26,000001.SH,600995.SH,20160831,0.018
27,000001.SH,601628.SH,20160831,1.664
28,000001.SH,603789.SH,20160831,0.021
29,000001.SH,603010.SH,20160831,0.023
30,000001.SH,600485.SH,20160831,0.198
31,000001.SH,600880.SH,20160831,0.035
32,000001.SH,600621.SH,20160831,0.023
33,000001.SH,601155.SH,20160831,0.105
34,000001.SH,600161.SH,20160831,0.076
35,000001.SH,900904.SH,20160831,0.002
36,000001.SH,900924.SH,20160831,0.007
37,000001.SH,601991.SH,20160831,0.145
38,000001.SH,600683.SH,20160831,0.026
39,000001.SH,600738.SH,20160831,0.013
40,000001.SH,600575.SH,20160831,0.062
41,000001.SH,600961.SH,20160831,0.02
42,000001.SH,600315.SH,20160831,0.073
43,000001.SH,600640.SH,20160831,0.041
44,000001.SH,600811.SH,20160831,0.076
45,000001.SH,601336.SH,20160831,0.337
46,000001.SH,600598.SH,20160831,0.073
47,000001.SH,600699.SH,20160831,0.086
48,000001.SH,600882.SH,20160831,0.018
49,000001.SH,600780.SH,20160831,0.023
50,000001.SH,600233.SH,20160831,0.027
51,000001.SH,600463.SH,20160831,0.016
52,000001.SH,600195.SH,20160831,0.034
53,000001.SH,600573.SH,20160831,0.013
54,000001.SH,600642.SH,20160831,0.102
55,000001.SH,600110.SH,20160831,0.042
56,000001.SH,601886.SH,20160831,0.047
57,000001.SH,601801.SH,20160831,0.086
58,000001.SH,601231.SH,20160831,0.093
59,000001.SH,600779.SH,20160831,0.029
60,000001.SH,600879.SH,20160831,0.066
61,000001.SH,600497.SH,20160831,0.095
62,000001.SH,600894.SH,20160831,0.047
63,000001.SH,900919.SH,20160831,0.005
64,000001.SH,600508.SH,20160831,0.027
65,000001.SH,603909.SH,20160831,0.022
66,000001.SH,601898.SH,20160831,0.189
67,000001.SH,600405.SH,20160831,0.021
68,000001.SH,600033.SH,20160831,0.034
69,000001.SH,600518.SH,20160831,0.299
70,000001.SH,603588.SH,20160831,0.041
71,000001.SH,600426.SH,20160831,0.048
72,000001.SH,601222.SH,20160831,0.072
73,000001.SH,603598.SH,20160831,0.021
74,000001.SH,600184.SH,20160831,0.043
75,000001.SH,601808.SH,20160831,0.135
76,000001.SH,601216.SH,20160831,0.132
77,000001.SH,600370.SH,20160831,0.017
78,000001.SH,600036.SH,20160831,1.423
79,000001.SH,603018.SH,20160831,0.026
80,000001.SH,600719.SH,20160831,0.011
81,000001.SH,603108.SH,20160831,0.033
82,000001.SH,600869.SH,20160831,0.077
83,000001.SH,603338.SH,20160831,0.028
84,000001.SH,603701.SH,20160831,0.019
85,000001.SH,600461.SH,20160831,0.025
86,000001.SH,600052.SH,20160831,0.024
87,000001.SH,600603.SH,20160831,0.01
88,000001.SH,600610.SH,20160831,0.036
89,000001.SH,603779.SH,20160831,0.026
90,000001.SH,600629.SH,20160831,0.026
91,000001.SH,600458.SH,20160831,0.051
92,000001.SH,600675.SH,20160831,0.035
93,000001.SH,600208.SH,20160831,0.145
94,000001.SH,600820.SH,20160831,0.114
95,000001.SH,600409.SH,20160831,0.055
96,000001.SH,603017.SH,20160831,0.019
97,000001.SH,900932.SH,20160831,0.038
98,000001.SH,600166.SH,20160831,0.069
99,000001.SH,600399.SH,20160831,0.034
100,000001.SH,900956.SH,20160831,0.006
101,000001.SH,600308.SH,20160831,0.021
102,000001.SH,600528.SH,20160831,0.065
103,000001.SH,600891.SH,20160831,0.026
104,000001.SH,603168.SH,20160831,0.026
105,000001.SH,600681.SH,20160831,0.042
106,000001.SH,601111.SH,20160831,0.235
107,000001.SH,600082.SH,20160831,0.016
108,000001.SH,600854.SH,20160831,0.015
109,000001.SH,600398.SH,20160831,0.187
110,000001.SH,603609.SH,20160831,0.047
111,000001.SH,600397.SH,20160831,0.017
112,000001.SH,600360.SH,20160831,0.029
113,000001.SH,601888.SH,20160831,0.169
114,000001.SH,603328.SH,20160831,0.053
115,000001.SH,600072.SH,20160831,0.026
116,000001.SH,600529.SH,20160831,0.019
117,000001.SH,600873.SH,20160831,0.073
118,000001.SH,600283.SH,20160831,0.017
119,000001.SH,900938.SH,20160831,0.005
120,000001.SH,600029.SH,20160831,0.19
121,000001.SH,600290.SH,20160831,0.029
122,000001.SH,600015.SH,20160831,0.416
123,000001.SH,600983.SH,20160831,0.033
124,000001.SH,600009.SH,20160831,0.198
125,000001.SH,600509.SH,20160831,0.025
126,000001.SH,600258.SH,20160831,0.017
127,000001.SH,600133.SH,20160831,0.019
128,000001.SH,600156.SH,20160831,0.014
129,000001.SH,600754.SH,20160831,0.103
130,000001.SH,600123.SH,20160831,0.032
131,000001.SH,600215.SH,20160831,0.014
132,000001.SH,600653.SH,20160831,0.028
133,000001.SH,603861.SH,20160831,0.07
134,000001.SH,601618.SH,20160831,0.26
135,000001.SH,600066.SH,20160831,0.177
136,000001.SH,601992.SH,20160831,0.133
137,000001.SH,900928.SH,20160831,0.004
138,000001.SH,600192.SH,20160831,0.016
139,000001.SH,600098.SH,20160831,0.082
140,000001.SH,600757.SH,20160831,0.041
141,000001.SH,600039.SH,20160831,0.045
142,000001.SH,600725.SH,20160831,0.014
143,000001.SH,600011.SH,20160831,0.28
144,000001.SH,601020.SH,20160831,0.065
145,000001.SH,600577.SH,20160831,0.03
146,000001.SH,600270.SH,20160831,0.061
147,000001.SH,600674.SH,20160831,0.149
148,000001.SH,601699.SH,20160831,0.092
149,000001.SH,600059.SH,20160831,0.033
150,000001.SH,600701.SH,20160831,0.027
151,000001.SH,601158.SH,20160831,0.134
152,000001.SH,600248.SH,20160831,0.015
153,000001.SH,600739.SH,20160831,0.101
154,000001.SH,600702.SH,20160831,0.029
155,000001.SH,600623.SH,20160831,0.132
156,000001.SH,600095.SH,20160831,0.013
157,000001.SH,600817.SH,20160831,0.009
158,000001.SH,600565.SH,20160831,0.061
159,000001.SH,600895.SH,20160831,0.113
160,000001.SH,601377.SH,20160831,0.197
161,000001.SH,600755.SH,20160831,0.059
162,000001.SH,600418.SH,20160831,0.081
163,000001.SH,600362.SH,20160831,0.111
164,000001.SH,600120.SH,20160831,0.068
165,000001.SH,600652.SH,20160831,0.043
166,000001.SH,900911.SH,20160831,0.011
167,000001.SH,900922.SH,20160831,0.002
168,000001.SH,600519.SH,20160831,1.442
169,000001.SH,600176.SH,20160831,0.099
170,000001.SH,600898.SH,20160831,0.013
171,000001.SH,603729.SH,20160831,0.019
172,000001.SH,600104.SH,20160831,0.901
173,000001.SH,603123.SH,20160831,0.019
174,000001.SH,600035.SH,20160831,0.03
175,000001.SH,601311.SH,20160831,0.053
176,000001.SH,900905.SH,20160831,0.018
177,000001.SH,600282.SH,20160831,0.038
178,000001.SH,603989.SH,20160831,0.038
179,000001.SH,600057.SH,20160831,0.049
180,000001.SH,600730.SH,20160831,0.029
181,000001.SH,600601.SH,20160831,0.042
182,000001.SH,600533.SH,20160831,0.021
183,000001.SH,600867.SH,20160831,0.116
184,000001.SH,600624.SH,20160831,0.026
185,000001.SH,603377.SH,20160831,0.063
186,000001.SH,600517.SH,20160831,0.053
187,000001.SH,600338.SH,20160831,0.07
188,000001.SH,601137.SH,20160831,0.029
189,000001.SH,603889.SH,20160831,0.017
190,000001.SH,600106.SH,20160831,0.024
191,000001.SH,600744.SH,20160831,0.039
192,000001.SH,603026.SH,20160831,0.035
193,000001.SH,600284.SH,20160831,0.029
194,000001.SH,600488.SH,20160831,0.022
195,000001.SH,600600.SH,20160831,0.076
196,000001.SH,600617.SH,20160831,0.042
197,000001.SH,600663.SH,20160831,0.235
198,000001.SH,600967.SH,20160831,0.035
199,000001.SH,600581.SH,20160831,0.013
200,000001.SH,601099.SH,20160831,0.113
201,000001.SH,600075.SH,20160831,0.033
202,000001.SH,900908.SH,20160831,0.008
203,000001.SH,600091.SH,20160831,0.019
204,000001.SH,600498.SH,20160831,0.098
205,000001.SH,600481.SH,20160831,0.036
206,000001.SH,900903.SH,20160831,0.015
207,000001.SH,600696.SH,20160831,0.016
208,000001.SH,601999.SH,20160831,0.021
209,000001.SH,900936.SH,20160831,0.01
210,000001.SH,601106.SH,20160831,0.129
211,000001.SH,600845.SH,20160831,0.049
212,000001.SH,601900.SH,20160831,0.053
213,000001.SH,601117.SH,20160831,0.104
214,000001.SH,601005.SH,20160831,0.036
215,000001.SH,600350.SH,20160831,0.115
216,000001.SH,600378.SH,20160831,0.018
217,000001.SH,600279.SH,20160831,0.02
218,000001.SH,600774.SH,20160831,0.013
219,000001.SH,600383.SH,20160831,0.2
220,000001.SH,603021.SH,20160831,0.021
221,000001.SH,603508.SH,20160831,0.05
222,000001.SH,600969.SH,20160831,0.015
223,000001.SH,603936.SH,20160831,0.025
224,000001.SH,601313.SH,20160831,0.019
225,000001.SH,600756.SH,20160831,0.034
226,000001.SH,603696.SH,20160831,0.018
227,000001.SH,603008.SH,20160831,0.022
228,000001.SH,600053.SH,20160831,0.057
229,000001.SH,600523.SH,20160831,0.02
230,000001.SH,600281.SH,20160831,0.013
231,000001.SH,600236.SH,20160831,0.163
232,000001.SH,600163.SH,20160831,0.02
233,000001.SH,600846.SH,20160831,0.023
234,000001.SH,600650.SH,20160831,0.04
235,000001.SH,603997.SH,20160831,0.031
236,000001.SH,600609.SH,20160831,0.021
237,000001.SH,603519.SH,20160831,0.014
238,000001.SH,601985.SH,20160831,0.39
239,000001.SH,900920.SH,20160831,0.008
240,000001.SH,601688.SH,20160831,0.411
241,000001.SH,603169.SH,20160831,0.046
242,000001.SH,600008.SH,20160831,0.074
243,000001.SH,600175.SH,20160831,0.072
244,000001.SH,600169.SH,20160831,0.037
245,000001.SH,600132.SH,20160831,0.029
246,000001.SH,900921.SH,20160831,0.003
247,000001.SH,600056.SH,20160831,0.07
248,000001.SH,601608.SH,20160831,0.086
249,000001.SH,603315.SH,20160831,0.015
250,000001.SH,600789.SH,20160831,0.021
251,000001.SH,600289.SH,20160831,0.03
252,000001.SH,601390.SH,20160831,0.515
253,000001.SH,600210.SH,20160831,0.031
254,000001.SH,603318.SH,20160831,0.02
255,000001.SH,600525.SH,20160831,0.072
256,000001.SH,603798.SH,20160831,0.023
257,000001.SH,600538.SH,20160831,0.024
258,000001.SH,600064.SH,20160831,0.049
259,000001.SH,601208.SH,20160831,0.019
260,000001.SH,900926.SH,20160831,0.011
261,000001.SH,603808.SH,20160831,0.027
262,000001.SH,600641.SH,20160831,0.04
263,000001.SH,600503.SH,20160831,0.06
264,000001.SH,600327.SH,20160831,0.02
265,000001.SH,601939.SH,20160831,0.187
266,000001.SH,601998.SH,20160831,0.8
267,000001.SH,600476.SH,20160831,0.018
268,000001.SH,600468.SH,20160831,0.028
269,000001.SH,601179.SH,20160831,0.1
