,index_code,con_code,trade_date,weight
0,000001.SH,600000.SH,20161230,1.234
1,000001.SH,600004.SH,20161230,0.057
2,000001.SH,600005.SH,20161230,0.121
3,000001.SH,600006.SH,20161230,0.048
4,000001.SH,600007.SH,20161230,0.061
5,000001.SH,600008.SH,20161230,0.07
6,000001.SH,600009.SH,20161230,0.18
7,000001.SH,600010.SH,20161230,0.32
8,000001.SH,600011.SH,20161230,0.261
9,000001.SH,600012.SH,20161230,0.068
10,000001.SH,600015.SH,20161230,0.408
11,000001.SH,600016.SH,20161230,0.945
12,000001.SH,600017.SH,20161230,0.044
13,000001.SH,600018.SH,20161230,0.418
14,000001.SH,600019.SH,20161230,0.368
15,000001.SH,600020.SH,20161230,0.036
16,000001.SH,600021.SH,20161230,0.092
17,000001.SH,600022.SH,20161230,0.074
18,000001.SH,600023.SH,20161230,0.26
19,000001.SH,600026.SH,20161230,0.066
20,000001.SH,600027.SH,20161230,0.142
21,000001.SH,600028.SH,20161230,1.821
22,000001.SH,600029.SH,20161230,0.174
23,000001.SH,600030.SH,20161230,0.557
24,000001.SH,600031.SH,20161230,0.164
25,000001.SH,600033.SH,20161230,0.033
26,000001.SH,600035.SH,20161230,0.032
27,000001.SH,600036.SH,20161230,1.279
28,000001.SH,600037.SH,20161230,0.075
29,000001.SH,600038.SH,20161230,0.101
30,000001.SH,600039.SH,20161230,0.05
31,000001.SH,600048.SH,20161230,0.381
32,000001.SH,600050.SH,20161230,0.546
33,000001.SH,600051.SH,20161230,0.014
34,000001.SH,600052.SH,20161230,0.022
35,000001.SH,600053.SH,20161230,0.07
36,000001.SH,600054.SH,20161230,0.029
37,000001.SH,600055.SH,20161230,0.025
38,000001.SH,600056.SH,20161230,0.072
39,000001.SH,600559.SH,20161230,0.036
40,000001.SH,600560.SH,20161230,0.013
41,000001.SH,600561.SH,20161230,0.012
42,000001.SH,600562.SH,20161230,0.051
43,000001.SH,600563.SH,20161230,0.029
44,000001.SH,600565.SH,20161230,0.063
45,000001.SH,600566.SH,20161230,0.089
46,000001.SH,600567.SH,20161230,0.058
47,000001.SH,600568.SH,20161230,0.063
48,000001.SH,600569.SH,20161230,0.025
49,000001.SH,600570.SH,20161230,0.103
50,000001.SH,600571.SH,20161230,0.03
51,000001.SH,600572.SH,20161230,0.065
52,000001.SH,600573.SH,20161230,0.014
53,000001.SH,600575.SH,20161230,0.079
54,000001.SH,600576.SH,20161230,0.041
55,000001.SH,600577.SH,20161230,0.029
56,000001.SH,600578.SH,20161230,0.068
57,000001.SH,600579.SH,20161230,0.021
58,000001.SH,600580.SH,20161230,0.041
59,000001.SH,600581.SH,20161230,0.018
60,000001.SH,600582.SH,20161230,0.072
61,000001.SH,600583.SH,20161230,0.115
62,000001.SH,600584.SH,20161230,0.064
63,000001.SH,600585.SH,20161230,0.239
64,000001.SH,600586.SH,20161230,0.024
65,000001.SH,600587.SH,20161230,0.036
66,000001.SH,600588.SH,20161230,0.107
67,000001.SH,600589.SH,20161230,0.022
68,000001.SH,600590.SH,20161230,0.044
69,000001.SH,600592.SH,20161230,0.018
70,000001.SH,600593.SH,20161230,0.013
71,000001.SH,600594.SH,20161230,0.046
72,000001.SH,600595.SH,20161230,0.034
73,000001.SH,600596.SH,20161230,0.024
74,000001.SH,600597.SH,20161230,0.057
75,000001.SH,600598.SH,20161230,0.076
76,000001.SH,600599.SH,20161230,0.017
77,000001.SH,600600.SH,20161230,0.072
78,000001.SH,600601.SH,20161230,0.036
