,index_code,con_code,trade_date,weight
0,000001.SH,600000.SH,20170929,1.106
1,000001.SH,600004.SH,20170929,0.083
2,000001.SH,600006.SH,20170929,0.042
3,000001.SH,600007.SH,20170929,0.058
4,000001.SH,600008.SH,20170929,0.094
5,000001.SH,600009.SH,20170929,0.224
6,000001.SH,600010.SH,20170929,0.376
7,000001.SH,600011.SH,20170929,0.223
8,000001.SH,600012.SH,20170929,0.047
9,000001.SH,600015.SH,20170929,0.364
10,000001.SH,600016.SH,20170929,0.725
11,000001.SH,600017.SH,20170929,0.04
12,000001.SH,600018.SH,20170929,0.474
13,000001.SH,600019.SH,20170929,0.5
14,000001.SH,600020.SH,20170929,0.037
15,000001.SH,600021.SH,20170929,0.073
16,000001.SH,600022.SH,20170929,0.083
17,000001.SH,600023.SH,20170929,0.223
18,000001.SH,600026.SH,20170929,0.053
19,000001.SH,600027.SH,20170929,0.11
20,000001.SH,600028.SH,20170929,1.724
21,000001.SH,600029.SH,20170929,0.178
22,000001.SH,600030.SH,20170929,0.547
23,000001.SH,600031.SH,20170929,0.179
24,000001.SH,600033.SH,20170929,0.032
25,000001.SH,600035.SH,20170929,0.031
26,000001.SH,600036.SH,20170929,1.612
27,000001.SH,600037.SH,20170929,0.063
28,000001.SH,600038.SH,20170929,0.079
29,000001.SH,600039.SH,20170929,0.051
30,000001.SH,600048.SH,20170929,0.377
31,000001.SH,600050.SH,20170929,0.481
32,000001.SH,600051.SH,20170929,0.009
33,000001.SH,600052.SH,20170929,0.013
34,000001.SH,600053.SH,20170929,0.043
35,000001.SH,600054.SH,20170929,0.027
36,000001.SH,600055.SH,20170929,0.026
37,000001.SH,600056.SH,20170929,0.08
38,000001.SH,600057.SH,20170929,0.037
39,000001.SH,600058.SH,20170929,0.045
40,000001.SH,600059.SH,20170929,0.024
41,000001.SH,600060.SH,20170929,0.063
42,000001.SH,600061.SH,20170929,0.184
43,000001.SH,600062.SH,20170929,0.056
44,000001.SH,600063.SH,20170929,0.026
45,000001.SH,600064.SH,20170929,0.036
46,000001.SH,600066.SH,20170929,0.167
47,000001.SH,600067.SH,20170929,0.034
48,000001.SH,600068.SH,20170929,0.146
49,000001.SH,600069.SH,20170929,0.035
50,000001.SH,600070.SH,20170929,0.017
51,000001.SH,600071.SH,20170929,0.014
52,000001.SH,600072.SH,20170929,0.043
53,000001.SH,600073.SH,20170929,0.028
54,000001.SH,600074.SH,20170929,0.077
55,000001.SH,600075.SH,20170929,0.028
56,000001.SH,600076.SH,20170929,0.034
57,000001.SH,600077.SH,20170929,0.018
58,000001.SH,600078.SH,20170929,0.012
59,000001.SH,600079.SH,20170929,0.071
60,000001.SH,600080.SH,20170929,0.011
61,000001.SH,600081.SH,20170929,0.013
62,000001.SH,600082.SH,20170929,0.012
63,000001.SH,600083.SH,20170929,0.014
64,000001.SH,600084.SH,20170929,0.026
65,000001.SH,600085.SH,20170929,0.136
66,000001.SH,600086.SH,20170929,0.043
67,000001.SH,600088.SH,20170929,0.017
68,000001.SH,600089.SH,20170929,0.113
69,000001.SH,600090.SH,20170929,0.039
70,000001.SH,600091.SH,20170929,0.009
71,000001.SH,600093.SH,20170929,0.042
72,000001.SH,603090.SH,20170929,0.008
73,000001.SH,603096.SH,20170929,0.025
74,000001.SH,603098.SH,20170929,0.026
75,000001.SH,603099.SH,20170929,0.012
76,000001.SH,603100.SH,20170929,0.014
77,000001.SH,603101.SH,20170929,0.012
78,000001.SH,603108.SH,20170929,0.025
79,000001.SH,603111.SH,20170929,0.034
80,000001.SH,603113.SH,20170929,0.056
81,000001.SH,603116.SH,20170929,0.022
82,000001.SH,603117.SH,20170929,0.018
83,000001.SH,603118.SH,20170929,0.033
84,000001.SH,603123.SH,20170929,0.014
85,000001.SH,603126.SH,20170929,0.025
86,000001.SH,603127.SH,20170929,0.015
87,000001.SH,603128.SH,20170929,0.028
88,000001.SH,603129.SH,20170929,0.014
89,000001.SH,603131.SH,20170929,0.014
90,000001.SH,603133.SH,20170929,0.026
91,000001.SH,603138.SH,20170929,0.014
92,000001.SH,603139.SH,20170929,0.009
93,000001.SH,603158.SH,20170929,0.014
94,000001.SH,603159.SH,20170929,0.01
95,000001.SH,603160.SH,20170929,0.13
96,000001.SH,603165.SH,20170929,0.027
97,000001.SH,603166.SH,20170929,0.02
98,000001.SH,603167.SH,20170929,0.017
99,000001.SH,603168.SH,20170929,0.018
100,000001.SH,603169.SH,20170929,0.033
101,000001.SH,603177.SH,20170929,0.011
102,000001.SH,603178.SH,20170929,0.01
103,000001.SH,603179.SH,20170929,0.022
104,000001.SH,603180.SH,20170929,0.017
105,000001.SH,603181.SH,20170929,0.02
106,000001.SH,603183.SH,20170929,0.017
107,000001.SH,603186.SH,20170929,0.015
108,000001.SH,603188.SH,20170929,0.032
109,000001.SH,603189.SH,20170929,0.014
110,000001.SH,603196.SH,20170929,0.01
111,000001.SH,603197.SH,20170929,0.019
112,000001.SH,603198.SH,20170929,0.048
113,000001.SH,603199.SH,20170929,0.012
114,000001.SH,603200.SH,20170929,0.01
115,000001.SH,603203.SH,20170929,0.014
116,000001.SH,603208.SH,20170929,0.012
117,000001.SH,603218.SH,20170929,0.038
118,000001.SH,603222.SH,20170929,0.017
119,000001.SH,603223.SH,20170929,0.01
120,000001.SH,603225.SH,20170929,0.068
121,000001.SH,603226.SH,20170929,0.008
122,000001.SH,603227.SH,20170929,0.014
123,000001.SH,603228.SH,20170929,0.068
124,000001.SH,603229.SH,20170929,0.009
125,000001.SH,603232.SH,20170929,0.01
126,000001.SH,603233.SH,20170929,0.048
127,000001.SH,603238.SH,20170929,0.011
128,000001.SH,603239.SH,20170929,0.018
129,000001.SH,603258.SH,20170929,0.028
130,000001.SH,603266.SH,20170929,0.01
131,000001.SH,603268.SH,20170929,0.008
132,000001.SH,603269.SH,20170929,0.007
133,000001.SH,603277.SH,20170929,0.032
134,000001.SH,603286.SH,20170929,0.007
135,000001.SH,603288.SH,20170929,0.392
136,000001.SH,603298.SH,20170929,0.037
137,000001.SH,603299.SH,20170929,0.018
138,000001.SH,603300.SH,20170929,0.014
139,000001.SH,603303.SH,20170929,0.024
140,000001.SH,603305.SH,20170929,0.057
141,000001.SH,603306.SH,20170929,0.022
142,000001.SH,603308.SH,20170929,0.019
143,000001.SH,603309.SH,20170929,0.013
144,000001.SH,603311.SH,20170929,0.012
145,000001.SH,603313.SH,20170929,0.021
146,000001.SH,600094.SH,20170929,0.055
147,000001.SH,600095.SH,20170929,0.009
148,000001.SH,600096.SH,20170929,0.036
149,000001.SH,600097.SH,20170929,0.011
150,000001.SH,600098.SH,20170929,0.061
151,000001.SH,600099.SH,20170929,0.008
152,000001.SH,600100.SH,20170929,0.111
153,000001.SH,600101.SH,20170929,0.01
154,000001.SH,600103.SH,20170929,0.026
155,000001.SH,600104.SH,20170929,1.079
156,000001.SH,600105.SH,20170929,0.026
157,000001.SH,600106.SH,20170929,0.016
158,000001.SH,600107.SH,20170929,0.015
159,000001.SH,600108.SH,20170929,0.028
160,000001.SH,600109.SH,20170929,0.109
161,000001.SH,600110.SH,20170929,0.048
162,000001.SH,600111.SH,20170929,0.179
163,000001.SH,600112.SH,20170929,0.011
164,000001.SH,600113.SH,20170929,0.013
165,000001.SH,600114.SH,20170929,0.023
166,000001.SH,600115.SH,20170929,0.203
167,000001.SH,600116.SH,20170929,0.03
168,000001.SH,600117.SH,20170929,0.022
169,000001.SH,600118.SH,20170929,0.102
170,000001.SH,600119.SH,20170929,0.014
171,000001.SH,600120.SH,20170929,0.057
172,000001.SH,600121.SH,20170929,0.021
173,000001.SH,600122.SH,20170929,0.036
174,000001.SH,600123.SH,20170929,0.034
175,000001.SH,600125.SH,20170929,0.047
176,000001.SH,600126.SH,20170929,0.058
177,000001.SH,600127.SH,20170929,0.011
178,000001.SH,600128.SH,20170929,0.008
179,000001.SH,600129.SH,20170929,0.019
180,000001.SH,600130.SH,20170929,0.016
181,000001.SH,600131.SH,20170929,0.012
182,000001.SH,600132.SH,20170929,0.033
183,000001.SH,600133.SH,20170929,0.02
184,000001.SH,600135.SH,20170929,0.017
185,000001.SH,600136.SH,20170929,0.023
186,000001.SH,600137.SH,20170929,0.011
187,000001.SH,600138.SH,20170929,0.047
188,000001.SH,600139.SH,20170929,0.019
189,000001.SH,600141.SH,20170929,0.03
190,000001.SH,600143.SH,20170929,0.051
191,000001.SH,600145.SH,20170929,0.009
192,000001.SH,600146.SH,20170929,0.037
193,000001.SH,600148.SH,20170929,0.013
194,000001.SH,600149.SH,20170929,0.014
195,000001.SH,600150.SH,20170929,0.104
196,000001.SH,600151.SH,20170929,0.033
197,000001.SH,600152.SH,20170929,0.015
198,000001.SH,600153.SH,20170929,0.101
199,000001.SH,600155.SH,20170929,0.074
200,000001.SH,600156.SH,20170929,0.008
201,000001.SH,600157.SH,20170929,0.137
202,000001.SH,600158.SH,20170929,0.036
