,index_code,con_code,trade_date,weight
0,000001.SH,601139.SH,20160429,0.07
1,000001.SH,600129.SH,20160429,0.029
2,000001.SH,601106.SH,20160429,0.142
3,000001.SH,600496.SH,20160429,0.029
4,000001.SH,600400.SH,20160429,0.05
5,000001.SH,600378.SH,20160429,0.018
6,000001.SH,600855.SH,20160429,0.041
7,000001.SH,600126.SH,20160429,0.055
8,000001.SH,603369.SH,20160429,0.072
9,000001.SH,600539.SH,20160429,0.01
10,000001.SH,600209.SH,20160429,0.02
11,000001.SH,600740.SH,20160429,0.02
12,000001.SH,900910.SH,20160429,0.006
13,000001.SH,603123.SH,20160429,0.018
14,000001.SH,600522.SH,20160429,0.09
15,000001.SH,600565.SH,20160429,0.067
16,000001.SH,601699.SH,20160429,0.09
17,000001.SH,603889.SH,20160429,0.02
18,000001.SH,600978.SH,20160429,0.07
19,000001.SH,900909.SH,20160429,0.008
20,000001.SH,600728.SH,20160429,0.058
21,000001.SH,603838.SH,20160429,0.017
22,000001.SH,600265.SH,20160429,0.014
23,000001.SH,600354.SH,20160429,0.018
24,000001.SH,601872.SH,20160429,0.107
25,000001.SH,600604.SH,20160429,0.056
26,000001.SH,600790.SH,20160429,0.025
27,000001.SH,600028.SH,20160429,1.867
28,000001.SH,601169.SH,20160429,0.524
29,000001.SH,603116.SH,20160429,0.04
30,000001.SH,601558.SH,20160429,0.071
31,000001.SH,600801.SH,20160429,0.029
32,000001.SH,600179.SH,20160429,0.021
33,000001.SH,600156.SH,20160429,0.02
34,000001.SH,600150.SH,20160429,0.126
35,000001.SH,600019.SH,20160429,0.368
36,000001.SH,603017.SH,20160429,0.017
37,000001.SH,603636.SH,20160429,0.022
38,000001.SH,600305.SH,20160429,0.025
39,000001.SH,600491.SH,20160429,0.041
40,000001.SH,600498.SH,20160429,0.101
41,000001.SH,603519.SH,20160429,0.014
42,000001.SH,601006.SH,20160429,0.39
43,000001.SH,600874.SH,20160429,0.035
44,000001.SH,600055.SH,20160429,0.026
45,000001.SH,600593.SH,20160429,0.012
46,000001.SH,900946.SH,20160429,0.003
47,000001.SH,601009.SH,20160429,0.227
48,000001.SH,603999.SH,20160429,0.033
49,000001.SH,601929.SH,20160429,0.052
50,000001.SH,600371.SH,20160429,0.016
51,000001.SH,600966.SH,20160429,0.019
52,000001.SH,601618.SH,20160429,0.259
53,000001.SH,601519.SH,20160429,0.074
54,000001.SH,600713.SH,20160429,0.03
55,000001.SH,600119.SH,20160429,0.019
56,000001.SH,603010.SH,20160429,0.021
57,000001.SH,600730.SH,20160429,0.033
58,000001.SH,601008.SH,20160429,0.02
59,000001.SH,600479.SH,20160429,0.02
60,000001.SH,601233.SH,20160429,0.049
61,000001.SH,600861.SH,20160429,0.018
62,000001.SH,601877.SH,20160429,0.099
63,000001.SH,600486.SH,20160429,0.028
64,000001.SH,600322.SH,20160429,0.023
65,000001.SH,600623.SH,20160429,0.186
66,000001.SH,900937.SH,20160429,0.006
67,000001.SH,601991.SH,20160429,0.168
68,000001.SH,603609.SH,20160429,0.039
69,000001.SH,600151.SH,20160429,0.053
70,000001.SH,600159.SH,20160429,0.017
71,000001.SH,600300.SH,20160429,0.038
72,000001.SH,600083.SH,20160429,0.023
73,000001.SH,601788.SH,20160429,0.272
74,000001.SH,600836.SH,20160429,0.034
75,000001.SH,600758.SH,20160429,0.057
76,000001.SH,601339.SH,20160429,0.037
77,000001.SH,900951.SH,20160429,0.004
78,000001.SH,600225.SH,20160429,0.023
79,000001.SH,601998.SH,20160429,0.802
80,000001.SH,600895.SH,20160429,0.126
81,000001.SH,600477.SH,20160429,0.034
82,000001.SH,601678.SH,20160429,0.026
83,000001.SH,600192.SH,20160429,0.015
84,000001.SH,600624.SH,20160429,0.027
85,000001.SH,900902.SH,20160429,0.008
86,000001.SH,600804.SH,20160429,0.106
87,000001.SH,603919.SH,20160429,0.029
88,000001.SH,603168.SH,20160429,0.027
89,000001.SH,600278.SH,20160429,0.031
90,000001.SH,600035.SH,20160429,0.03
91,000001.SH,603355.SH,20160429,0.056
92,000001.SH,603009.SH,20160429,0.014
93,000001.SH,600605.SH,20160429,0.014
94,000001.SH,601177.SH,20160429,0.016
95,000001.SH,600068.SH,20160429,0.109
96,000001.SH,600890.SH,20160429,0.027
97,000001.SH,600578.SH,20160429,0.088
98,000001.SH,600301.SH,20160429,0.014
99,000001.SH,600863.SH,20160429,0.075
100,000001.SH,600723.SH,20160429,0.023
101,000001.SH,603669.SH,20160429,0.028
102,000001.SH,600183.SH,20160429,0.05
103,000001.SH,600393.SH,20160429,0.055
104,000001.SH,603118.SH,20160429,0.043
105,000001.SH,601311.SH,20160429,0.053
106,000001.SH,600665.SH,20160429,0.019
107,000001.SH,600846.SH,20160429,0.023
108,000001.SH,600416.SH,20160429,0.036
109,000001.SH,600326.SH,20160429,0.023
110,000001.SH,603979.SH,20160429,0.035
111,000001.SH,600598.SH,20160429,0.074
112,000001.SH,600315.SH,20160429,0.077
113,000001.SH,600858.SH,20160429,0.018
114,000001.SH,600222.SH,20160429,0.019
115,000001.SH,601789.SH,20160429,0.022
116,000001.SH,600114.SH,20160429,0.024
117,000001.SH,601100.SH,20160429,0.034
118,000001.SH,600121.SH,20160429,0.022
119,000001.SH,600800.SH,20160429,0.022
120,000001.SH,601211.SH,20160429,0.559
121,000001.SH,600844.SH,20160429,0.015
122,000001.SH,600871.SH,20160429,0.218
123,000001.SH,600279.SH,20160429,0.022
124,000001.SH,600218.SH,20160429,0.015
125,000001.SH,600012.SH,20160429,0.065
126,000001.SH,600750.SH,20160429,0.036
127,000001.SH,600375.SH,20160429,0.015
128,000001.SH,601969.SH,20160429,0.09
129,000001.SH,600449.SH,20160429,0.018
130,000001.SH,600981.SH,20160429,0.075
131,000001.SH,600230.SH,20160429,0.016
132,000001.SH,600571.SH,20160429,0.041
133,000001.SH,600235.SH,20160429,0.019
134,000001.SH,603939.SH,20160429,0.04
135,000001.SH,600096.SH,20160429,0.047
136,000001.SH,600489.SH,20160429,0.134
137,000001.SH,603222.SH,20160429,0.017
138,000001.SH,600676.SH,20160429,0.035
139,000001.SH,600725.SH,20160429,0.014
140,000001.SH,600973.SH,20160429,0.026
141,000001.SH,603555.SH,20160429,0.062
142,000001.SH,600456.SH,20160429,0.028
143,000001.SH,600663.SH,20160429,0.21
144,000001.SH,603789.SH,20160429,0.025
145,000001.SH,600748.SH,20160429,0.058
146,000001.SH,600633.SH,20160429,0.074
147,000001.SH,600409.SH,20160429,0.055
148,000001.SH,600061.SH,20160429,0.245
149,000001.SH,600048.SH,20160429,0.386
150,000001.SH,601515.SH,20160429,0.051
151,000001.SH,600769.SH,20160429,0.016
152,000001.SH,603618.SH,20160429,0.034
153,000001.SH,603968.SH,20160429,0.024
154,000001.SH,600050.SH,20160429,0.344
155,000001.SH,600596.SH,20160429,0.02
156,000001.SH,600579.SH,20160429,0.021
157,000001.SH,900955.SH,20160429,0.005
158,000001.SH,900953.SH,20160429,0.008
159,000001.SH,600645.SH,20160429,0.059
160,000001.SH,603729.SH,20160429,0.02
161,000001.SH,600097.SH,20160429,0.013
162,000001.SH,601968.SH,20160429,0.031
163,000001.SH,600754.SH,20160429,0.105
164,000001.SH,600809.SH,20160429,0.063
165,000001.SH,600004.SH,20160429,0.055
166,000001.SH,601098.SH,20160429,0.126
167,000001.SH,601616.SH,20160429,0.024
168,000001.SH,600893.SH,20160429,0.285
169,000001.SH,603223.SH,20160429,0.014
170,000001.SH,603918.SH,20160429,0.024
171,000001.SH,600744.SH,20160429,0.043
172,000001.SH,600273.SH,20160429,0.041
173,000001.SH,600367.SH,20160429,0.013
174,000001.SH,600255.SH,20160429,0.029
175,000001.SH,600885.SH,20160429,0.056
176,000001.SH,600658.SH,20160429,0.026
177,000001.SH,603566.SH,20160429,0.03
178,000001.SH,603898.SH,20160429,0.04
179,000001.SH,600350.SH,20160429,0.105
180,000001.SH,600701.SH,20160429,0.029
181,000001.SH,600837.SH,20160429,0.488
182,000001.SH,601058.SH,20160429,0.034
183,000001.SH,600722.SH,20160429,0.02
184,000001.SH,600008.SH,20160429,0.079
185,000001.SH,603589.SH,20160429,0.077
186,000001.SH,600103.SH,20160429,0.022
187,000001.SH,600760.SH,20160429,0.014
188,000001.SH,601313.SH,20160429,0.02
189,000001.SH,601890.SH,20160429,0.036
190,000001.SH,600009.SH,20160429,0.21
191,000001.SH,600376.SH,20160429,0.093
192,000001.SH,600532.SH,20160429,0.035
193,000001.SH,600505.SH,20160429,0.014
194,000001.SH,600797.SH,20160429,0.04
195,000001.SH,603026.SH,20160429,0.027
196,000001.SH,601599.SH,20160429,0.041
197,000001.SH,600889.SH,20160429,0.015
198,000001.SH,600775.SH,20160429,0.04
199,000001.SH,600320.SH,20160429,0.05
200,000001.SH,600369.SH,20160429,0.183
201,000001.SH,600458.SH,20160429,0.041
202,000001.SH,600353.SH,20160429,0.017
203,000001.SH,601996.SH,20160429,0.015
204,000001.SH,600307.SH,20160429,0.068
205,000001.SH,600891.SH,20160429,0.023
206,000001.SH,600421.SH,20160429,0.017
207,000001.SH,600475.SH,20160429,0.016
208,000001.SH,600030.SH,20160429,0.649
209,000001.SH,600655.SH,20160429,0.068
210,000001.SH,600511.SH,20160429,0.053
211,000001.SH,600551.SH,20160429,0.034
