,index_code,con_code,trade_date,weight
0,000001.SH,600000.SH,20171229,1.115
1,000001.SH,600004.SH,20171229,0.092
2,000001.SH,600006.SH,20171229,0.035
3,000001.SH,600007.SH,20171229,0.052
4,000001.SH,600008.SH,20171229,0.075
5,000001.SH,600009.SH,20171229,0.262
6,000001.SH,600010.SH,20171229,0.338
7,000001.SH,600011.SH,20171229,0.195
8,000001.SH,600012.SH,20171229,0.039
9,000001.SH,600015.SH,20171229,0.348
10,000001.SH,600016.SH,20171229,0.748
11,000001.SH,600017.SH,20171229,0.036
12,000001.SH,600018.SH,20171229,0.465
13,000001.SH,600019.SH,20171229,0.576
14,000001.SH,600020.SH,20171229,0.033
15,000001.SH,600021.SH,20171229,0.066
16,000001.SH,600022.SH,20171229,0.071
17,000001.SH,600023.SH,20171229,0.219
18,000001.SH,600025.SH,20171229,0.288
19,000001.SH,600026.SH,20171229,0.051
20,000001.SH,600027.SH,20171229,0.091
21,000001.SH,600028.SH,20171229,1.767
22,000001.SH,600029.SH,20171229,0.252
23,000001.SH,600030.SH,20171229,0.537
24,000001.SH,600031.SH,20171229,0.209
25,000001.SH,600033.SH,20171229,0.03
26,000001.SH,600035.SH,20171229,0.027
27,000001.SH,600036.SH,20171229,1.806
28,000001.SH,600037.SH,20171229,0.055
29,000001.SH,600038.SH,20171229,0.083
30,000001.SH,600039.SH,20171229,0.044
31,000001.SH,600048.SH,20171229,0.506
32,000001.SH,600050.SH,20171229,0.577
33,000001.SH,600051.SH,20171229,0.009
34,000001.SH,600052.SH,20171229,0.01
35,000001.SH,600053.SH,20171229,0.031
36,000001.SH,600054.SH,20171229,0.022
37,000001.SH,600055.SH,20171229,0.026
38,000001.SH,600056.SH,20171229,0.08
39,000001.SH,600057.SH,20171229,0.036
40,000001.SH,600058.SH,20171229,0.039
41,000001.SH,600059.SH,20171229,0.023
42,000001.SH,600060.SH,20171229,0.059
43,000001.SH,600061.SH,20171229,0.168
44,000001.SH,600062.SH,20171229,0.065
45,000001.SH,600230.SH,20171229,0.038
46,000001.SH,600231.SH,20171229,0.039
47,000001.SH,600232.SH,20171229,0.008
48,000001.SH,600233.SH,20171229,0.143
49,000001.SH,600234.SH,20171229,0.008
50,000001.SH,600235.SH,20171229,0.007
51,000001.SH,600236.SH,20171229,0.105
52,000001.SH,600237.SH,20171229,0.009
53,000001.SH,600238.SH,20171229,0.011
54,000001.SH,600239.SH,20171229,0.025
55,000001.SH,600240.SH,20171229,0.037
56,000001.SH,600241.SH,20171229,0.009
57,000001.SH,600242.SH,20171229,0.024
58,000001.SH,600243.SH,20171229,0.009
59,000001.SH,600246.SH,20171229,0.025
60,000001.SH,600247.SH,20171229,0.009
61,000001.SH,600248.SH,20171229,0.01
62,000001.SH,600249.SH,20171229,0.011
63,000001.SH,600250.SH,20171229,0.01
64,000001.SH,600251.SH,20171229,0.018
65,000001.SH,600252.SH,20171229,0.046
66,000001.SH,600255.SH,20171229,0.02
67,000001.SH,600256.SH,20171229,0.08
68,000001.SH,600257.SH,20171229,0.011
69,000001.SH,600258.SH,20171229,0.066
70,000001.SH,600259.SH,20171229,0.036
71,000001.SH,600260.SH,20171229,0.062
72,000001.SH,600261.SH,20171229,0.024
73,000001.SH,600262.SH,20171229,0.01
74,000001.SH,600265.SH,20171229,0.008
75,000001.SH,600266.SH,20171229,0.062
76,000001.SH,600267.SH,20171229,0.044
77,000001.SH,600268.SH,20171229,0.011
78,000001.SH,600269.SH,20171229,0.036
79,000001.SH,600270.SH,20171229,0.047
80,000001.SH,600271.SH,20171229,0.121
81,000001.SH,600272.SH,20171229,0.005
82,000001.SH,600273.SH,20171229,0.043
83,000001.SH,600275.SH,20171229,0.009
84,000001.SH,600276.SH,20171229,0.586
85,000001.SH,600277.SH,20171229,0.053
86,000001.SH,600278.SH,20171229,0.019
87,000001.SH,600279.SH,20171229,0.012
88,000001.SH,600280.SH,20171229,0.027
89,000001.SH,600281.SH,20171229,0.009
90,000001.SH,600282.SH,20171229,0.064
91,000001.SH,600283.SH,20171229,0.013
92,000001.SH,600284.SH,20171229,0.019
93,000001.SH,600285.SH,20171229,0.017
94,000001.SH,600287.SH,20171229,0.01
95,000001.SH,600288.SH,20171229,0.011
96,000001.SH,600289.SH,20171229,0.019
97,000001.SH,600290.SH,20171229,0.03
98,000001.SH,600291.SH,20171229,0.078
99,000001.SH,600292.SH,20171229,0.021
100,000001.SH,600293.SH,20171229,0.028
101,000001.SH,600295.SH,20171229,0.027
102,000001.SH,600297.SH,20171229,0.197
103,000001.SH,600298.SH,20171229,0.081
104,000001.SH,600299.SH,20171229,0.082
105,000001.SH,600300.SH,20171229,0.022
106,000001.SH,600301.SH,20171229,0.006
107,000001.SH,600302.SH,20171229,0.006
108,000001.SH,600303.SH,20171229,0.019
109,000001.SH,600305.SH,20171229,0.021
110,000001.SH,600306.SH,20171229,0.006
111,000001.SH,600307.SH,20171229,0.054
112,000001.SH,600308.SH,20171229,0.022
113,000001.SH,600309.SH,20171229,0.313
114,000001.SH,600310.SH,20171229,0.013
115,000001.SH,600311.SH,20171229,0.011
116,000001.SH,600312.SH,20171229,0.041
117,000001.SH,600313.SH,20171229,0.01
118,000001.SH,600315.SH,20171229,0.075
119,000001.SH,600063.SH,20171229,0.022
120,000001.SH,600064.SH,20171229,0.033
121,000001.SH,600066.SH,20171229,0.161
122,000001.SH,600067.SH,20171229,0.029
123,000001.SH,600068.SH,20171229,0.114
124,000001.SH,600069.SH,20171229,0.032
125,000001.SH,600070.SH,20171229,0.015
126,000001.SH,600071.SH,20171229,0.012
127,000001.SH,600072.SH,20171229,0.029
128,000001.SH,600073.SH,20171229,0.023
129,000001.SH,600074.SH,20171229,0.073
130,000001.SH,600075.SH,20171229,0.023
131,000001.SH,600076.SH,20171229,0.023
132,000001.SH,600077.SH,20171229,0.014
133,000001.SH,600078.SH,20171229,0.011
