,index_code,con_code,trade_date,weight
0,000001.SH,600000.SH,20170126,1.236
1,000001.SH,600004.SH,20170126,0.057
2,000001.SH,600005.SH,20170126,0.128
3,000001.SH,600006.SH,20170126,0.047
4,000001.SH,600007.SH,20170126,0.063
5,000001.SH,600008.SH,20170126,0.069
6,000001.SH,600009.SH,20170126,0.181
7,000001.SH,600010.SH,20170126,0.327
8,000001.SH,600011.SH,20170126,0.261
9,000001.SH,600012.SH,20170126,0.054
10,000001.SH,600015.SH,20170126,0.423
11,000001.SH,600016.SH,20170126,0.934
12,000001.SH,600017.SH,20170126,0.042
13,000001.SH,600018.SH,20170126,0.423
14,000001.SH,600019.SH,20170126,0.382
15,000001.SH,600020.SH,20170126,0.035
16,000001.SH,600021.SH,20170126,0.092
17,000001.SH,600022.SH,20170126,0.077
18,000001.SH,600023.SH,20170126,0.264
19,000001.SH,600026.SH,20170126,0.067
20,000001.SH,600027.SH,20170126,0.14
21,000001.SH,600028.SH,20170126,1.968
22,000001.SH,600029.SH,20170126,0.176
23,000001.SH,600030.SH,20170126,0.554
24,000001.SH,600031.SH,20170126,0.179
25,000001.SH,600033.SH,20170126,0.033
26,000001.SH,600035.SH,20170126,0.029
27,000001.SH,600036.SH,20170126,1.339
28,000001.SH,600037.SH,20170126,0.072
29,000001.SH,600038.SH,20170126,0.105
30,000001.SH,600039.SH,20170126,0.05
31,000001.SH,600048.SH,20170126,0.373
32,000001.SH,600050.SH,20170126,0.473
33,000001.SH,600051.SH,20170126,0.014
34,000001.SH,600052.SH,20170126,0.019
35,000001.SH,600053.SH,20170126,0.065
36,000001.SH,600054.SH,20170126,0.028
37,000001.SH,600055.SH,20170126,0.022
38,000001.SH,600056.SH,20170126,0.077
39,000001.SH,600057.SH,20170126,0.044
40,000001.SH,600058.SH,20170126,0.056
41,000001.SH,600059.SH,20170126,0.029
42,000001.SH,600060.SH,20170126,0.078
43,000001.SH,600061.SH,20170126,0.196
44,000001.SH,600062.SH,20170126,0.059
45,000001.SH,600063.SH,20170126,0.027
46,000001.SH,600064.SH,20170126,0.045
47,000001.SH,600066.SH,20170126,0.153
48,000001.SH,600067.SH,20170126,0.036
49,000001.SH,600068.SH,20170126,0.156
50,000001.SH,600069.SH,20170126,0.044
51,000001.SH,600070.SH,20170126,0.024
52,000001.SH,600105.SH,20170126,0.031
53,000001.SH,600106.SH,20170126,0.025
54,000001.SH,600107.SH,20170126,0.022
55,000001.SH,600108.SH,20170126,0.037
56,000001.SH,600109.SH,20170126,0.138
57,000001.SH,600110.SH,20170126,0.039
58,000001.SH,600111.SH,20170126,0.155
59,000001.SH,600112.SH,20170126,0.018
60,000001.SH,600113.SH,20170126,0.022
61,000001.SH,600114.SH,20170126,0.024
62,000001.SH,600115.SH,20170126,0.231
63,000001.SH,600116.SH,20170126,0.031
64,000001.SH,600117.SH,20170126,0.021
65,000001.SH,600118.SH,20170126,0.133
66,000001.SH,600119.SH,20170126,0.021
67,000001.SH,600120.SH,20170126,0.049
68,000001.SH,600121.SH,20170126,0.018
69,000001.SH,600122.SH,20170126,0.05
70,000001.SH,600123.SH,20170126,0.03
71,000001.SH,600125.SH,20170126,0.043
72,000001.SH,600126.SH,20170126,0.071
73,000001.SH,600127.SH,20170126,0.015
