,index_code,con_code,trade_date,weight
0,000001.SH,601008.SH,20161130,0.019
1,000001.SH,601677.SH,20161130,0.029
2,000001.SH,601988.SH,20161130,2.517
3,000001.SH,600766.SH,20161130,0.013
4,000001.SH,600809.SH,20161130,0.067
5,000001.SH,600893.SH,20161130,0.232
6,000001.SH,601069.SH,20161130,0.053
7,000001.SH,600858.SH,20161130,0.016
8,000001.SH,600310.SH,20161130,0.032
9,000001.SH,600777.SH,20161130,0.061
10,000001.SH,600575.SH,20161130,0.076
11,000001.SH,603977.SH,20161130,0.024
12,000001.SH,900915.SH,20161130,0.004
13,000001.SH,600078.SH,20161130,0.016
14,000001.SH,600466.SH,20161130,0.057
15,000001.SH,600006.SH,20161130,0.05
16,000001.SH,600521.SH,20161130,0.082
17,000001.SH,600753.SH,20161130,0.016
18,000001.SH,603007.SH,20161130,0.027
19,000001.SH,603959.SH,20161130,0.025
20,000001.SH,600773.SH,20161130,0.039
21,000001.SH,600239.SH,20161130,0.021
22,000001.SH,600568.SH,20161130,0.066
23,000001.SH,600234.SH,20161130,0.012
24,000001.SH,600309.SH,20161130,0.154
25,000001.SH,600745.SH,20161130,0.037
26,000001.SH,600620.SH,20161130,0.042
27,000001.SH,900914.SH,20161130,0.006
28,000001.SH,600763.SH,20161130,0.037
29,000001.SH,600501.SH,20161130,0.027
30,000001.SH,600566.SH,20161130,0.082
31,000001.SH,600716.SH,20161130,0.026
32,000001.SH,600373.SH,20161130,0.107
33,000001.SH,601727.SH,20161130,0.3
34,000001.SH,900905.SH,20161130,0.017
35,000001.SH,600368.SH,20161130,0.017
36,000001.SH,600804.SH,20161130,0.115
37,000001.SH,603569.SH,20161130,0.065
38,000001.SH,600828.SH,20161130,0.049
39,000001.SH,600259.SH,20161130,0.059
40,000001.SH,600389.SH,20161130,0.021
41,000001.SH,600273.SH,20161130,0.044
42,000001.SH,900916.SH,20161130,0.004
43,000001.SH,600586.SH,20161130,0.023
44,000001.SH,600825.SH,20161130,0.032
45,000001.SH,600029.SH,20161130,0.185
46,000001.SH,600999.SH,20161130,0.377
47,000001.SH,601886.SH,20161130,0.047
48,000001.SH,900912.SH,20161130,0.008
49,000001.SH,600861.SH,20161130,0.017
50,000001.SH,600770.SH,20161130,0.049
51,000001.SH,600220.SH,20161130,0.028
52,000001.SH,603322.SH,20161130,0.021
53,000001.SH,600860.SH,20161130,0.012
54,000001.SH,600846.SH,20161130,0.021
55,000001.SH,601158.SH,20161130,0.129
56,000001.SH,600165.SH,20161130,0.029
57,000001.SH,601789.SH,20161130,0.024
58,000001.SH,603099.SH,20161130,0.019
59,000001.SH,600448.SH,20161130,0.011
60,000001.SH,600634.SH,20161130,0.035
61,000001.SH,600892.SH,20161130,0.037
62,000001.SH,600247.SH,20161130,0.017
63,000001.SH,603398.SH,20161130,0.034
64,000001.SH,600754.SH,20161130,0.083
65,000001.SH,600658.SH,20161130,0.035
66,000001.SH,603737.SH,20161130,0.028
67,000001.SH,600230.SH,20161130,0.02
68,000001.SH,600701.SH,20161130,0.05
69,000001.SH,600289.SH,20161130,0.031
70,000001.SH,600130.SH,20161130,0.025
71,000001.SH,603518.SH,20161130,0.016
72,000001.SH,600692.SH,20161130,0.021
73,000001.SH,603555.SH,20161130,0.059
74,000001.SH,603608.SH,20161130,0.025
75,000001.SH,600074.SH,20161130,0.127
76,000001.SH,600557.SH,20161130,0.038
77,000001.SH,600282.SH,20161130,0.039
78,000001.SH,603318.SH,20161130,0.02
79,000001.SH,600433.SH,20161130,0.038
80,000001.SH,600070.SH,20161130,0.017
81,000001.SH,603998.SH,20161130,0.025
82,000001.SH,603843.SH,20161130,0.034
83,000001.SH,600666.SH,20161130,0.075
84,000001.SH,601777.SH,20161130,0.041
85,000001.SH,600633.SH,20161130,0.066
86,000001.SH,601918.SH,20161130,0.041
87,000001.SH,600212.SH,20161130,0.017
88,000001.SH,603017.SH,20161130,0.021
89,000001.SH,600531.SH,20161130,0.029
90,000001.SH,600779.SH,20161130,0.028
91,000001.SH,600655.SH,20161130,0.054
92,000001.SH,601500.SH,20161130,0.058
93,000001.SH,600982.SH,20161130,0.015
94,000001.SH,600577.SH,20161130,0.028
95,000001.SH,900951.SH,20161130,0.003
96,000001.SH,601311.SH,20161130,0.053
97,000001.SH,900917.SH,20161130,0.01
98,000001.SH,600509.SH,20161130,0.024
99,000001.SH,600016.SH,20161130,0.955
100,000001.SH,603883.SH,20161130,0.047
101,000001.SH,600084.SH,20161130,0.043
102,000001.SH,600184.SH,20161130,0.04
103,000001.SH,600358.SH,20161130,0.018
104,000001.SH,600678.SH,20161130,0.017
105,000001.SH,600966.SH,20161130,0.017
106,000001.SH,600877.SH,20161130,0.021
107,000001.SH,600461.SH,20161130,0.022
108,000001.SH,600837.SH,20161130,0.461
109,000001.SH,600879.SH,20161130,0.067
110,000001.SH,603100.SH,20161130,0.021
111,000001.SH,600313.SH,20161130,0.025
112,000001.SH,603456.SH,20161130,0.037
113,000001.SH,603568.SH,20161130,0.059
114,000001.SH,600149.SH,20161130,0.037
115,000001.SH,603726.SH,20161130,0.019
116,000001.SH,603377.SH,20161130,0.06
117,000001.SH,600126.SH,20161130,0.08
118,000001.SH,600110.SH,20161130,0.04
119,000001.SH,603861.SH,20161130,0.051
120,000001.SH,600307.SH,20161130,0.062
121,000001.SH,600528.SH,20161130,0.073
122,000001.SH,600481.SH,20161130,0.039
123,000001.SH,900911.SH,20161130,0.01
124,000001.SH,600066.SH,20161130,0.159
125,000001.SH,600555.SH,20161130,0.022
126,000001.SH,600208.SH,20161130,0.137
127,000001.SH,603090.SH,20161130,0.019
128,000001.SH,600552.SH,20161130,0.024
129,000001.SH,601958.SH,20161130,0.091
130,000001.SH,600077.SH,20161130,0.027
131,000001.SH,600642.SH,20161130,0.095
132,000001.SH,600784.SH,20161130,0.019
133,000001.SH,600891.SH,20161130,0.022
134,000001.SH,600635.SH,20161130,0.054
135,000001.SH,603979.SH,20161130,0.03
136,000001.SH,600838.SH,20161130,0.023
137,000001.SH,601328.SH,20161130,0.782
138,000001.SH,900953.SH,20161130,0.006
139,000001.SH,900909.SH,20161130,0.006
140,000001.SH,603789.SH,20161130,0.02
141,000001.SH,603002.SH,20161130,0.014
142,000001.SH,603738.SH,20161130,0.02
143,000001.SH,603818.SH,20161130,0.031
144,000001.SH,601003.SH,20161130,0.048
145,000001.SH,600736.SH,20161130,0.037
146,000001.SH,601611.SH,20161130,0.149
147,000001.SH,600704.SH,20161130,0.102
148,000001.SH,600366.SH,20161130,0.041
149,000001.SH,600377.SH,20161130,0.116
150,000001.SH,601939.SH,20161130,0.182
151,000001.SH,600255.SH,20161130,0.026
152,000001.SH,600198.SH,20161130,0.054
153,000001.SH,600369.SH,20161130,0.15
154,000001.SH,600340.SH,20161130,0.263
155,000001.SH,600796.SH,20161130,0.012
156,000001.SH,600456.SH,20161130,0.028
157,000001.SH,600815.SH,20161130,0.023
158,000001.SH,600012.SH,20161130,0.06
159,000001.SH,601666.SH,20161130,0.043
160,000001.SH,600229.SH,20161130,0.029
161,000001.SH,600652.SH,20161130,0.04
162,000001.SH,601908.SH,20161130,0.051
163,000001.SH,600611.SH,20161130,0.037
164,000001.SH,900930.SH,20161130,0.004
165,000001.SH,600667.SH,20161130,0.052
166,000001.SH,600505.SH,20161130,0.013
167,000001.SH,603999.SH,20161130,0.035
168,000001.SH,603996.SH,20161130,0.026
169,000001.SH,900929.SH,20161130,0.006
170,000001.SH,900935.SH,20161130,0.007
171,000001.SH,601989.SH,20161130,0.45
172,000001.SH,900923.SH,20161130,0.006
173,000001.SH,601811.SH,20161130,0.072
174,000001.SH,600677.SH,20161130,0.033
175,000001.SH,601519.SH,20161130,0.057
176,000001.SH,600419.SH,20161130,0.021
177,000001.SH,601966.SH,20161130,0.124
178,000001.SH,600498.SH,20161130,0.097
179,000001.SH,600203.SH,20161130,0.019
180,000001.SH,600894.SH,20161130,0.043
181,000001.SH,600969.SH,20161130,0.017
182,000001.SH,600755.SH,20161130,0.05
183,000001.SH,900942.SH,20161130,0.008
184,000001.SH,600226.SH,20161130,0.039
185,000001.SH,600048.SH,20161130,0.398
186,000001.SH,600030.SH,20161130,0.594
187,000001.SH,600867.SH,20161130,0.106
188,000001.SH,600061.SH,20161130,0.212
189,000001.SH,600791.SH,20161130,0.013
190,000001.SH,900901.SH,20161130,0.006
191,000001.SH,600900.SH,20161130,0.998
192,000001.SH,600936.SH,20161130,0.083
193,000001.SH,600576.SH,20161130,0.04
194,000001.SH,603000.SH,20161130,0.071
195,000001.SH,600446.SH,20161130,0.086
196,000001.SH,603997.SH,20161130,0.03
197,000001.SH,600619.SH,20161130,0.026
198,000001.SH,601113.SH,20161130,0.029
199,000001.SH,600280.SH,20161130,0.033
200,000001.SH,600876.SH,20161130,0.024
201,000001.SH,600275.SH,20161130,0.028
202,000001.SH,600329.SH,20161130,0.034
203,000001.SH,600153.SH,20161130,0.114
204,000001.SH,603203.SH,20161130,0.025
205,000001.SH,600359.SH,20161130,0.013
206,000001.SH,603766.SH,20161130,0.062
207,000001.SH,600297.SH,20161130,0.159
208,000001.SH,600106.SH,20161130,0.022
209,000001.SH,600595.SH,20161130,0.036
210,000001.SH,900957.SH,20161130,0.005
211,000001.SH,600738.SH,20161130,0.012
212,000001.SH,600783.SH,20161130,0.065
213,000001.SH,600096.SH,20161130,0.041
214,000001.SH,600323.SH,20161130,0.039
215,000001.SH,600827.SH,20161130,0.069
216,000001.SH,601877.SH,20161130,0.098
217,000001.SH,600503.SH,20161130,0.051
218,000001.SH,600757.SH,20161130,0.037
219,000001.SH,603309.SH,20161130,0.019
220,000001.SH,600820.SH,20161130,0.112
221,000001.SH,600744.SH,20161130,0.034
222,000001.SH,600308.SH,20161130,0.022
223,000001.SH,601968.SH,20161130,0.033
224,000001.SH,601137.SH,20161130,0.029
225,000001.SH,600039.SH,20161130,0.053
226,000001.SH,600186.SH,20161130,0.02
227,000001.SH,603088.SH,20161130,0.015
228,000001.SH,603885.SH,20161130,0.11
229,000001.SH,600853.SH,20161130,0.013
230,000001.SH,601155.SH,20161130,0.087
231,000001.SH,600223.SH,20161130,0.02
232,000001.SH,600801.SH,20161130,0.026
233,000001.SH,600626.SH,20161130,0.032
234,000001.SH,600908.SH,20161130,0.079
235,000001.SH,600596.SH,20161130,0.023
236,000001.SH,600068.SH,20161130,0.15
237,000001.SH,600099.SH,20161130,0.01
238,000001.SH,603556.SH,20161130,0.073
239,000001.SH,600390.SH,20161130,0.022
240,000001.SH,600266.SH,20161130,0.073
241,000001.SH,600237.SH,20161130,0.016
242,000001.SH,600715.SH,20161130,0.124
243,000001.SH,600976.SH,20161130,0.017
244,000001.SH,603300.SH,20161130,0.02
245,000001.SH,600599.SH,20161130,0.022
246,000001.SH,603606.SH,20161130,0.016
247,000001.SH,603968.SH,20161130,0.018
248,000001.SH,600739.SH,20161130,0.111
249,000001.SH,600242.SH,20161130,0.024
250,000001.SH,600478.SH,20161130,0.051
251,000001.SH,601888.SH,20161130,0.148
252,000001.SH,601100.SH,20161130,0.034
253,000001.SH,601999.SH,20161130,0.023
254,000001.SH,600363.SH,20161130,0.027
255,000001.SH,603601.SH,20161130,0.023
256,000001.SH,600322.SH,20161130,0.025
257,000001.SH,603898.SH,20161130,0.032
258,000001.SH,603598.SH,20161130,0.022
259,000001.SH,600768.SH,20161130,0.011
260,000001.SH,600525.SH,20161130,0.062
261,000001.SH,600319.SH,20161130,0.01
262,000001.SH,600178.SH,20161130,0.018
263,000001.SH,601208.SH,20161130,0.016
264,000001.SH,600133.SH,20161130,0.019
265,000001.SH,600405.SH,20161130,0.018
266,000001.SH,603421.SH,20161130,0.07
267,000001.SH,600303.SH,20161130,0.023
268,000001.SH,600284.SH,20161130,0.028
269,000001.SH,600251.SH,20161130,0.022
270,000001.SH,600539.SH,20161130,0.013
271,000001.SH,600311.SH,20161130,0.016
272,000001.SH,603899.SH,20161130,0.059
273,000001.SH,600439.SH,20161130,0.027
274,000001.SH,600848.SH,20161130,0.058
275,000001.SH,600895.SH,20161130,0.098
276,000001.SH,600158.SH,20161130,0.058
277,000001.SH,600819.SH,20161130,0.019
278,000001.SH,601238.SH,20161130,0.361
279,000001.SH,601678.SH,20161130,0.027
280,000001.SH,603859.SH,20161130,0.02
281,000001.SH,600664.SH,20161130,0.079
282,000001.SH,603919.SH,20161130,0.032
283,000001.SH,603011.SH,20161130,0.019
284,000001.SH,600213.SH,20161130,0.012
285,000001.SH,600962.SH,20161130,0.015
286,000001.SH,600094.SH,20161130,0.071
287,000001.SH,600997.SH,20161130,0.03
288,000001.SH,600121.SH,20161130,0.019
289,000001.SH,600636.SH,20161130,0.021
290,000001.SH,601799.SH,20161130,0.037
291,000001.SH,600787.SH,20161130,0.066
292,000001.SH,600268.SH,20161130,0.018
293,000001.SH,603188.SH,20161130,0.037
294,000001.SH,600331.SH,20161130,0.044
295,000001.SH,603658.SH,20161130,0.082
296,000001.SH,603663.SH,20161130,0.02
297,000001.SH,600638.SH,20161130,0.031
298,000001.SH,600606.SH,20161130,0.397
299,000001.SH,601588.SH,20161130,0.039
300,000001.SH,603703.SH,20161130,0.029
301,000001.SH,603696.SH,20161130,0.022
302,000001.SH,600098.SH,20161130,0.098
303,000001.SH,600689.SH,20161130,0.01
304,000001.SH,600200.SH,20161130,0.046
305,000001.SH,603069.SH,20161130,0.023
306,000001.SH,600482.SH,20161130,0.187
307,000001.SH,603118.SH,20161130,0.052
308,000001.SH,603369.SH,20161130,0.057
309,000001.SH,601139.SH,20161130,0.071
310,000001.SH,600506.SH,20161130,0.015
311,000001.SH,601608.SH,20161130,0.096
312,000001.SH,600630.SH,20161130,0.024
313,000001.SH,600587.SH,20161130,0.034
314,000001.SH,600371.SH,20161130,0.013
315,000001.SH,600730.SH,20161130,0.027
316,000001.SH,600821.SH,20161130,0.019
317,000001.SH,600675.SH,20161130,0.032
318,000001.SH,601028.SH,20161130,0.029
319,000001.SH,601996.SH,20161130,0.015
320,000001.SH,600515.SH,20161130,0.166
321,000001.SH,600598.SH,20161130,0.075
322,000001.SH,900938.SH,20161130,0.005
323,000001.SH,603901.SH,20161130,0.022
324,000001.SH,600278.SH,20161130,0.034
325,000001.SH,600463.SH,20161130,0.017
326,000001.SH,600790.SH,20161130,0.024
327,000001.SH,603111.SH,20161130,0.037
328,000001.SH,600622.SH,20161130,0.036
329,000001.SH,600687.SH,20161130,0.083
330,000001.SH,600673.SH,20161130,0.061
331,000001.SH,603258.SH,20161130,0.063
332,000001.SH,603306.SH,20161130,0.027
333,000001.SH,900908.SH,20161130,0.008
334,000001.SH,600021.SH,20161130,0.085
335,000001.SH,600027.SH,20161130,0.146
336,000001.SH,600706.SH,20161130,0.012
337,000001.SH,603779.SH,20161130,0.023
338,000001.SH,600748.SH,20161130,0.055
339,000001.SH,600162.SH,20161130,0.042
340,000001.SH,600083.SH,20161130,0.018
341,000001.SH,600496.SH,20161130,0.023
342,000001.SH,900902.SH,20161130,0.006
343,000001.SH,900903.SH,20161130,0.013
344,000001.SH,600890.SH,20161130,0.022
345,000001.SH,600156.SH,20161130,0.015
346,000001.SH,603806.SH,20161130,0.068
347,000001.SH,603025.SH,20161130,0.063
348,000001.SH,600702.SH,20161130,0.026
349,000001.SH,600283.SH,20161130,0.016
350,000001.SH,603167.SH,20161130,0.018
351,000001.SH,600699.SH,20161130,0.081
352,000001.SH,600592.SH,20161130,0.02
353,000001.SH,603688.SH,20161130,0.017
354,000001.SH,600688.SH,20161130,0.152
355,000001.SH,603567.SH,20161130,0.063
356,000001.SH,600841.SH,20161130,0.025
357,000001.SH,600728.SH,20161130,0.049
358,000001.SH,600345.SH,20161130,0.016
359,000001.SH,600410.SH,20161130,0.047
360,000001.SH,600756.SH,20161130,0.03
361,000001.SH,603822.SH,20161130,0.018
362,000001.SH,600054.SH,20161130,0.029
363,000001.SH,600979.SH,20161130,0.026
364,000001.SH,600059.SH,20161130,0.029
365,000001.SH,600007.SH,20161130,0.067
366,000001.SH,600510.SH,20161130,0.032
367,000001.SH,600616.SH,20161130,0.02
368,000001.SH,900952.SH,20161130,0.003
369,000001.SH,600810.SH,20161130,0.015
370,000001.SH,600196.SH,20161130,0.163
371,000001.SH,601808.SH,20161130,0.132
372,000001.SH,600250.SH,20161130,0.014
373,000001.SH,600370.SH,20161130,0.02
374,000001.SH,600530.SH,20161130,0.023
375,000001.SH,600518.SH,20161130,0.291
376,000001.SH,600182.SH,20161130,0.043
377,000001.SH,600155.SH,20161130,0.068
378,000001.SH,600502.SH,20161130,0.03
379,000001.SH,600246.SH,20161130,0.043
380,000001.SH,600210.SH,20161130,0.029
381,000001.SH,603887.SH,20161130,0.022
382,000001.SH,601111.SH,20161130,0.23
383,000001.SH,600479.SH,20161130,0.02
384,000001.SH,600393.SH,20161130,0.065
385,000001.SH,600604.SH,20161130,0.048
386,000001.SH,600881.SH,20161130,0.054
387,000001.SH,600018.SH,20161130,0.419
388,000001.SH,600612.SH,20161130,0.043
389,000001.SH,600320.SH,20161130,0.049
390,000001.SH,600444.SH,20161130,0.011
391,000001.SH,603159.SH,20161130,0.021
392,000001.SH,600581.SH,20161130,0.015
393,000001.SH,600780.SH,20161130,0.023
394,000001.SH,600490.SH,20161130,0.042
395,000001.SH,601618.SH,20161130,0.297
396,000001.SH,600559.SH,20161130,0.036
397,000001.SH,601002.SH,20161130,0.028
398,000001.SH,601880.SH,20161130,0.076
399,000001.SH,600107.SH,20161130,0.024
400,000001.SH,600758.SH,20161130,0.061
401,000001.SH,600608.SH,20161130,0.019
402,000001.SH,601001.SH,20161130,0.038
