,index_code,con_code,trade_date,weight
0,000001.SH,600584.SH,20160331,0.09
1,000001.SH,601929.SH,20160331,0.057
2,000001.SH,600233.SH,20160331,0.016
3,000001.SH,601968.SH,20160331,0.032
4,000001.SH,600731.SH,20160331,0.011
5,000001.SH,601226.SH,20160331,0.046
6,000001.SH,600015.SH,20160331,0.428
7,000001.SH,601669.SH,20160331,0.35
8,000001.SH,600768.SH,20160331,0.013
9,000001.SH,603606.SH,20160331,0.018
10,000001.SH,600217.SH,20160331,0.045
11,000001.SH,600481.SH,20160331,0.04
12,000001.SH,600854.SH,20160331,0.015
13,000001.SH,600068.SH,20160331,0.109
14,000001.SH,600323.SH,20160331,0.037
15,000001.SH,600805.SH,20160331,0.029
16,000001.SH,600189.SH,20160331,0.013
17,000001.SH,600261.SH,20160331,0.046
18,000001.SH,600313.SH,20160331,0.019
19,000001.SH,600260.SH,20160331,0.029
20,000001.SH,600580.SH,20160331,0.059
21,000001.SH,603166.SH,20160331,0.041
22,000001.SH,601985.SH,20160331,0.473
23,000001.SH,600028.SH,20160331,1.791
24,000001.SH,603997.SH,20160331,0.036
25,000001.SH,600339.SH,20160331,0.012
26,000001.SH,600717.SH,20160331,0.066
27,000001.SH,600332.SH,20160331,0.096
28,000001.SH,600019.SH,20160331,0.341
29,000001.SH,600276.SH,20160331,0.364
30,000001.SH,600083.SH,20160331,0.019
31,000001.SH,600456.SH,20160331,0.028
32,000001.SH,600624.SH,20160331,0.03
33,000001.SH,601519.SH,20160331,0.081
34,000001.SH,900945.SH,20160331,0.006
35,000001.SH,601002.SH,20160331,0.027
36,000001.SH,600475.SH,20160331,0.015
37,000001.SH,601677.SH,20160331,0.025
38,000001.SH,600622.SH,20160331,0.035
39,000001.SH,600051.SH,20160331,0.013
40,000001.SH,601988.SH,20160331,2.822
41,000001.SH,601328.SH,20160331,0.861
42,000001.SH,600462.SH,20160331,0.017
43,000001.SH,600576.SH,20160331,0.054
44,000001.SH,600010.SH,20160331,0.38
45,000001.SH,601011.SH,20160331,0.031
46,000001.SH,600039.SH,20160331,0.048
47,000001.SH,600519.SH,20160331,1.225
