,index_code,con_code,trade_date,weight
0,399300.SZ,601228.SH,20180427,0.037
1,399300.SZ,600685.SH,20180427,0.059
2,399300.SZ,600372.SH,20180427,0.07
3,399300.SZ,600104.SH,20180427,1.024
4,399300.SZ,600089.SH,20180427,0.27
5,399300.SZ,002714.SZ,20180427,0.152
6,399300.SZ,000725.SZ,20180427,0.937
7,399300.SZ,601788.SH,20180427,0.225
8,399300.SZ,601718.SH,20180427,0.056
9,399300.SZ,601607.SH,20180427,0.247
10,399300.SZ,601088.SH,20180427,0.379
11,399300.SZ,600886.SH,20180427,0.254
12,399300.SZ,600827.SH,20180427,0.075
13,399300.SZ,600519.SH,20180427,3.045
14,399300.SZ,600482.SH,20180427,0.194
15,399300.SZ,600016.SH,20180427,1.669
16,399300.SZ,300122.SZ,20180427,0.178
17,399300.SZ,300059.SZ,20180427,0.472
18,399300.SZ,002739.SZ,20180427,0.224
19,399300.SZ,002470.SZ,20180427,0.125
20,399300.SZ,002424.SZ,20180427,0.052
21,399300.SZ,002236.SZ,20180427,0.358
22,399300.SZ,601398.SH,20180427,1.184
23,399300.SZ,601021.SH,20180427,0.084
24,399300.SZ,600585.SH,20180427,0.621
25,399300.SZ,600373.SH,20180427,0.072
26,399300.SZ,600085.SH,20180427,0.178
27,399300.SZ,002841.SZ,20180427,0.032
28,399300.SZ,002500.SZ,20180427,0.127
29,399300.SZ,000983.SZ,20180427,0.112
30,399300.SZ,000157.SZ,20180427,0.168
31,399300.SZ,601211.SH,20180427,0.607
32,399300.SZ,600795.SH,20180427,0.306
33,399300.SZ,600021.SH,20180427,0.072
34,399300.SZ,002602.SZ,20180427,0.14
35,399300.SZ,601992.SH,20180427,0.128
36,399300.SZ,601991.SH,20180427,0.076
37,399300.SZ,601898.SH,20180427,0.084
38,399300.SZ,601601.SH,20180427,0.909
39,399300.SZ,601318.SH,20180427,6.034
40,399300.SZ,600977.SH,20180427,0.108
41,399300.SZ,300124.SZ,20180427,0.3
42,399300.SZ,002460.SZ,20180427,0.291
43,399300.SZ,002008.SZ,20180427,0.365
44,399300.SZ,000961.SZ,20180427,0.122
45,399300.SZ,000627.SZ,20180427,0.105
46,399300.SZ,000559.SZ,20180427,0.103
47,399300.SZ,000008.SZ,20180427,0.093
48,399300.SZ,601966.SH,20180427,0.07
49,399300.SZ,601878.SH,20180427,0.04
50,399300.SZ,601633.SH,20180427,0.12
51,399300.SZ,601163.SH,20180427,0.036
52,399300.SZ,600871.SH,20180427,0.035
53,399300.SZ,600362.SH,20180427,0.163
54,399300.SZ,600153.SH,20180427,0.14
55,399300.SZ,600048.SH,20180427,0.855
56,399300.SZ,600018.SH,20180427,0.192
57,399300.SZ,300017.SZ,20180427,0.174
58,399300.SZ,000826.SZ,20180427,0.137
59,399300.SZ,000415.SZ,20180427,0.099
60,399300.SZ,601901.SH,20180427,0.223
61,399300.SZ,601800.SH,20180427,0.186
62,399300.SZ,601117.SH,20180427,0.132
63,399300.SZ,601006.SH,20180427,0.451
64,399300.SZ,600999.SH,20180427,0.344
65,399300.SZ,600588.SH,20180427,0.246
